|building_address_city|List_Date|Close_Date|days_on_market|Sale_Price|Sq_Ft|price_per_sqft|Agent|Buyer_Agent|geo_address|building_name|address_only|loc|point|lat|lon|altitude|Sale_Price_int|price_per_sqft_int|year
39|Oceana IV Condo 16400 Collins Ave PH46 Sunny Isles Beach|10/5/2021|12/21/2021|35|$2,125,000.00|4150|$512.05|Denver Bright|Rohit Anand|Oceana IV Condo 16400 Collins Ave PH46 Sunny Isles Beach|Oceana IV Condo |16400 Collins Ave PH46 Sunny Isles Beach|16400 Collins Ave, Sunny Isles Beach, FL 33160, USA|(25.9284667, -80.12379729999999, 0.0)|25.9284667|-80.12379729999999|0.0|2125000.0|512.05|2021
40|W South Beach Residences 2201 Collins Ave UPH1 Miami Beach|11/29/2021|12/30/2021|25|$10,300,000.00|4752|$3,742.73|Eloy Carmenate & Mick Duchon|Jonathan Azoulay|W South Beach Residences 2201 Collins Ave UPH1 Miami Beach|W South Beach Residences |2201 Collins Ave UPH1 Miami Beach|2201 Collins Ave, Miami Beach, FL 33139, USA|(25.7973813, -80.1271903, 0.0)|25.7973813|-80.1271903|0.0|10300000.0|3742.73|2021
41|Murano at Portofino 1000 S Pointe Dr 2001 Miami Beach|10/5/2021|12/30/2021|49|$8,350,000.00|3365|$2,481.43|Dora Puig|Francis Hawley|Murano at Portofino 1000 S Pointe Dr 2001 Miami Beach|Murano at Portofino |1000 S Pointe Dr 2001 Miami Beach|1000 South Pointe Dr, Miami Beach, FL 33139, USA|(25.7683443, -80.1373909, 0.0)|25.7683443|-80.1373909|0.0|8350000.0|2481.43|2021
42|One Thousand Museum 1000 Biscayne Blvd 3002 Miami|7/22/2021|12/28/2021|159|$6,650,000.00|5507|$1,406.81|Macarena Gomez|Brandon Perdeck|One Thousand Museum 1000 Biscayne Blvd 3002 Miami|One Thousand Museum |1000 Biscayne Blvd 3002 Miami|1000 Biscayne Blvd, Miami, FL 33132, USA|(25.7841815, -80.1902008, 0.0)|25.7841815|-80.1902008|0.0|6650000.0|1406.81|2021
43|One Thousand Museum 1000 Biscayne Blvd 2902 Miami|7/23/2021|12/27/2021|53|$6,335,000.00|4600|$1,377.17|Anna Sherrill|Karen Stauber|One Thousand Museum 1000 Biscayne Blvd 2902 Miami|One Thousand Museum |1000 Biscayne Blvd 2902 Miami|1000 Biscayne Blvd, Miami, FL 33132, USA|(25.7841815, -80.1902008, 0.0)|25.7841815|-80.1902008|0.0|6335000.0|1377.17|2021
44|Residences at Vizcaya Condo 3535 Hiawatha Ave 403 Miami|11/23/2021|12/28/2021|10|$5,400,000.00|4453|$1,212.67|Geraldine Pichardo|Fabian Dominguez|Residences at Vizcaya Condo 3535 Hiawatha Ave 403 Miami|Residences at Vizcaya Condo |3535 Hiawatha Ave 403 Miami|3535 Hiawatha Ave, Miami, FL 33133, USA|(25.739869, -80.2189729, 0.0)|25.739869|-80.2189729|0.0|5400000.0|1212.67|2021
45|Ritz Carlton Sunny Isles 15701 Collins Ave 2802 Sunny Isles Beach|11/4/2021|12/30/2021|46|$4,725,000.00|2475|$1,909.09|Ryan Farbstein|Catalina Vanoy|Ritz Carlton Sunny Isles 15701 Collins Ave 2802 Sunny Isles Beach|Ritz Carlton Sunny Isles |15701 Collins Ave 2802 Sunny Isles Beach|15701 Collins Ave Suite 4401, Sunny Isles Beach, FL 33160, USA|(25.9220815, -80.1219976, 0.0)|25.9220815|-80.1219976|0.0|4725000.0|1909.09|2021
46|Chateau Beach Condo 17475 Collins Ave 2701 Sunny Isles Beach|4/21/2019|12/31/2021|945|$4,200,000.00|4105|$1,023.14|Vadim Yushkevich|Adam Schwartz|Chateau Beach Condo 17475 Collins Ave 2701 Sunny Isles Beach|Chateau Beach Condo |17475 Collins Ave 2701 Sunny Isles Beach|17475 Collins Ave, Sunny Isles Beach, FL 33160, USA|(25.9378917, -80.12093329999999, 0.0)|25.9378917|-80.12093329999999|0.0|4200000.0|1023.14|2021
47|Prive Condo 5000 Island Estates Dr 905 Aventura|12/2/2019|12/28/2021|594|$3,550,000.00|4517|$1,025.72|Richard Goihman|Marci Varca|Prive Condo 5000 Island Estates Dr 905 Aventura|Prive Condo |5000 Island Estates Dr 905 Aventura|5000 Island Estates Dr, Aventura, FL 33160, USA|(25.9470842, -80.1306458, 0.0)|25.9470842|-80.1306458|0.0|3550000.0|1025.72|2021
48|Icon South Beach 450 Alton Rd 1501 Miami Beach|11/1/2021|12/27/2021|11|$3,335,000.00|2145|$1,554.78|Nancy Batchelor PA|Anna Sherrill|Icon South Beach 450 Alton Rd 1501 Miami Beach|Icon South Beach |450 Alton Rd 1501 Miami Beach|450 Alton Rd, Miami Beach, FL 33139, USA|(25.7735347, -80.14088799999999, 0.0)|25.7735347|-80.14088799999999|0.0|3335000.0|1554.78|2021
49|East Shenandoah 1348 SW 22 Ter 1348 Miami|9/20/2021|12/28/2021|99|$3,157,614.00|3246|$1,177.34|Julian Johnston|Michelle Halfon|East Shenandoah 1348 SW 22 Ter 1348 Miami|East Shenandoah |1348 SW 22 Ter 1348 Miami|1348 SW 22nd Terrace, Miami, FL 33145, USA|(25.7500081, -80.2173308, 0.0)|25.7500081|-80.2173308|0.0|3157614.0|1177.34|2021
